"Domain Name","Domain Type",Agency,City,State,"Is Live",SPF,DKIM
ARTESIANM.GOV,City,"Non-Federal Agency",Artesia,NM,true,true,false
ARTHUR-IL.GOV,City,"Non-Federal Agency",Arthur,IL,true,false,false
ASHBURNHAM-MA.GOV,City,"Non-Federal Agency",Ashburnham,MA,true,true,false
ASHBYMA.GOV,City,"Non-Federal Agency",Ashby,MA,true,true,false
ASHEBORONC.GOV,City,"Non-Federal Agency",Asheboro,NC,true,false,false
ASHEVILLENC.GOV,City,"Non-Federal Agency",Asheville,NC,true,true,false
ASHGROVEMO.GOV,City,"Non-Federal Agency","Ash Grove",MO,true,true,false
ASHLANDCITYTN.GOV,City,"Non-Federal Agency","Ashland City",TN,true,true,false
ASHLANDKY.GOV,City,"Non-Federal Agency",Ashland,KY,true,false,false
ASHLANDVA.GOV,City,"Non-Federal Agency",Ashland,VA,true,true,false
ASHVILLEOHIO.GOV,City,"Non-Federal Agency",Ashville,OH,true,true,false
ATHENSTX.GOV,City,"Non-Federal Agency",Athens,TX,true,true,false
ATHOL-MA.GOV,City,"Non-Federal Agency",Athol,MA,true,false,false
ATKINSON-NH.GOV,City,"Non-Federal Agency",Atkinson,NH,true,false,false
ATLANTAGA.GOV,City,"Non-Federal Agency",Atlanta,GA,true,false,false
ATLANTISFL.GOV,City,"Non-Federal Agency",Atlantis,FL,true,true,false
ATTICA-IN.GOV,City,"Non-Federal Agency",Attica,IN,true,false,false
AUBREYTX.GOV,City,"Non-Federal Agency",Aubrey,TX,true,true,false
AUBURNMAINE.GOV,City,"Non-Federal Agency",Auburn,ME,true,false,false
AUBURNNY.GOV,City,"Non-Federal Agency",Auburn,NY,true,false,false
AUBURNWA.GOV,City,"Non-Federal Agency",Auburn,WA,true,false,false
AUGUSTAGA.GOV,City,"Non-Federal Agency",Augusta,GA,true,true,false
AUGUSTAMAINE.GOV,City,"Non-Federal Agency",Augusta,ME,true,true,false
AURORATEXAS.GOV,City,"Non-Federal Agency",Rhome,TX,true,true,false
AUSTELLGA.GOV,City,"Non-Federal Agency",Austell,GA,true,false,false
AUSTINTEXAS.GOV,City,"Non-Federal Agency",Austin,TX,true,true,false
AUSTINTX.GOV,City,"Non-Federal Agency",Austin,TX,true,false,false
AVON-MA.GOV,City,"Non-Federal Agency",Avon,MA,true,true,false
AVONCT.GOV,City,"Non-Federal Agency",Avon,CT,true,false,false
AVONDALEAZ.GOV,City,"Non-Federal Agency",Avondale,AZ,true,true,false
AZTECNM.GOV,City,"Non-Federal Agency",Aztec,NM,true,false,false
BAINBRIDGEWA.GOV,City,"Non-Federal Agency","Bainbridge Island",WA,true,true,false
BAKERSFIELD-CA.GOV,City,"Non-Federal Agency",Bakersfield,CA,false,false,false
BALHARBOURFL.GOV,City,"Non-Federal Agency","Bal Harbour",FL,true,false,false
BALTIMORECITY.GOV,City,"Non-Federal Agency",Baltimore,MD,true,true,false
BANGORMAINE.GOV,City,"Non-Federal Agency",Bangor,ME,true,false,false
BARHARBORMAINE.GOV,City,"Non-Federal Agency","Bar Harbor",ME,true,true,false
BARLINGAR.GOV,City,"Non-Federal Agency",Barling,AR,true,false,false
BARRINGTON-IL.GOV,City,"Non-Federal Agency",Barrington,IL,true,true,false
BARRINGTONHILLS-IL.GOV,City,"Non-Federal Agency","Barrington Hills",IL,true,true,false
BASSLAKEWI.GOV,City,"Non-Federal Agency",Hayward,WI,true,false,false
BASTROPTX.GOV,City,"Non-Federal Agency",Bastrop,TX,true,false,false
BATONROUGELA.GOV,City,"Non-Federal Agency","Baton Rouge",LA,false,false,false
BATTLECREEKMI.GOV,City,"Non-Federal Agency","Battle Creek",MI,true,true,false
